"Avibase.ID","spname","Species","gbif_dwnld_date","gbif_TaxonKey","maxrecords_in_gbif","maxrecords_PRESENT_only","comments","gbif_dwnld_type","cleaned_records","maxTtol_K0.1","minTtol_K0.1","maxTtol_celcius","minTtol_celcius"
"AVIBASE-F5C181CA","Petrochelidon pyrrhonota","Petrochelidon pyrrhonota","9/28/2022",2489169,1576054,1575981,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2489169&occurrence_status=present","manual",751667,3174.8,2385.6,44.33,-34.59
"AVIBASE-DAD22BB6","Peucaea aestivalis","Peucaea aestivalis","9/24/2022",7341544,37791,37786,NA,"code",36718,3078.8,2656.4,34.73,-7.50999999999999
"AVIBASE-F4C9CD76","Peucaea botterii","Peucaea botterii","9/24/2022",7341548,25207,25204,NA,"code",24112,3121.4,2714.8,38.99,-1.66999999999996
"AVIBASE-B58AFD6E","Peucaea cassinii","Peucaea cassinii","9/24/2022",6091692,63647,63639,NA,"code",62002,3160.4,2575.6,42.89,-15.59
"AVIBASE-9D945327","Peucedramus taeniatus","Peucedramus taeniatus","9/24/2022",2492276,38924,38890,NA,"code",37110,3114.2,2623.4,38.27,-10.8099999999999
"AVIBASE-BD929CBC","Phainopepla nitens","Phainopepla nitens","9/29/2022",2492885,398247,398190,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2492885&occurrence_status=present","manual",264617,3181.2,2594.8,44.97,-13.67
"AVIBASE-3AC46C54","Phalacrocorax auritus","Phalacrocorax auritus","9/29/2022",2481875,6757122,6756570,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481875&occurrence_status=present","manual",2579212,3170.2,2454.6,43.87,-27.69
"AVIBASE-A429B5B8","Phalacrocorax pelagicus","Phalacrocorax pelagicus","9/29/2022",2481870,426445,426423,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481870&occurrence_status=present","manual",115209,3046.8,2444.8,31.53,-28.67
"AVIBASE-987A703D","Phalacrocorax penicillatus","Phalacrocorax penicillatus","9/24/2022",2481892,4016,4001,NA,"code",628,3122.8,2718,39.1300000000001,-1.34999999999997
"AVIBASE-D621FFC6","Phalaenoptilus nuttallii","Phalaenoptilus nuttallii","9/24/2022",2497062,68845,68808,NA,"code",66141,3179,2510.8,44.75,-22.07
"AVIBASE-667C6969","Phalaropus tricolor","Phalaropus tricolor","9/29/2022",5229389,352326,351751,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229389&occurrence_status=present","manual",332386,3179.4,2438.6,44.79,-29.29
"AVIBASE-2FA39DCD","Phasianus colchicus","Phasianus colchicus","9/29/2022",9752149,2092099,2081825,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9752149&occurrence_status=present","manual",978811,3161.6,2417.8,43.01,-31.3699999999999
"AVIBASE-7C2FCB13","Pheucticus ludovicianus","Pheucticus ludovicianus","9/29/2022",2490494,1782038,1781921,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490494&occurrence_status=present","manual",838588,3173.8,2425.8,44.23,-30.57
"AVIBASE-824361E5","Pheucticus melanocephalus","Pheucticus melanocephalus","9/29/2022",2490487,987985,987510,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2490487&occurrence_status=present","manual",534493,3176.4,2498.2,44.49,-23.33
"AVIBASE-2DABF98F","Philomachus pugnax","Philomachus pugnax","9/29/2022",5229387,920141,917666,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229387&occurrence_status=present","manual",326609,3199,2342.2,46.75,-38.93
"AVIBASE-06DD9D95","Phoenicurus phoenicurus","Phoenicurus phoenicurus","9/29/2022",5739317,1139771,1088885,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5739317&occurrence_status=present","manual",358449,3198.2,2422.6,46.67,-30.89
"AVIBASE-ECFC7E6C","Phylloscopus borealis","Phylloscopus borealis","9/24/2022",2493071,56860,54302,NA,"code",32588,3112.8,2312,38.1300000000001,-41.95
"AVIBASE-88F4B969","Phylloscopus trochilus","Phylloscopus trochilus","9/29/2022",2493052,3912912,3902014,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2493052&occurrence_status=present","manual",1274158,3197.4,2368.8,46.59,-36.27
"AVIBASE-640D71AA","Pica hudsonia","Pica hudsonia","9/29/2022",5229487,1693819,1693781,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5229487&occurrence_status=present","manual",811467,3150.6,2434.4,41.91,-29.71
"AVIBASE-538A9CA7","Pica nuttalli","Pica nuttalli","9/24/2022",5229489,93523,93518,NA,"code",92371,3111,2632.4,37.95,-9.90999999999997
"AVIBASE-6BDADC9C","Picoides arcticus","Picoides arcticus","9/24/2022",2477774,58734,58700,NA,"code",53591,3081.6,2419.6,35.01,-31.19
"AVIBASE-83AC4DAD","Pinicola enucleator","Pinicola enucleator","9/29/2022",2494771,377051,374361,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2494771&occurrence_status=present","manual",214803,3112.8,2400.4,38.1300000000001,-33.11
"AVIBASE-45D829B3","Pipilo chlorurus","Pipilo chlorurus","9/29/2022",2491276,257133,257031,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491276&occurrence_status=present","manual",121112,3175.8,2504.2,44.4300000000001,-22.73
"AVIBASE-6090278A","Pipilo erythrophthalmus","Pipilo erythrophthalmus","9/29/2022",2491205,3469561,3469444,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2491205&occurrence_status=present","manual",1321127,3107.6,2500.6,37.61,-23.09
"AVIBASE-58E25701","Pipilo maculatus","Pipilo maculatus","9/29/2022",9709230,3014335,3013747,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=9709230&occurrence_status=present","manual",1684472,3170.2,2500.8,43.87,-23.07
