Avibase.ID,spname,Species,gbif_dwnld_date,gbif_TaxonKey,maxrecords_in_gbif,maxrecords_PRESENT_only,comments,gbif_dwnld_type
AVIBASE-D1FC2D6B,Nucifraga columbiana,Nucifraga columbiana,9/28/2022,2482614,217355,217279,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2482614&occurrence_status=present,manual
AVIBASE-5284C27B,Numenius americanus,Numenius americanus,9/28/2022,2481794,385656,385636,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481794&occurrence_status=present,manual
AVIBASE-F9305BAA,Numenius phaeopus,Numenius phaeopus,9/28/2022,2481784,1094557,1089840,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2481784&occurrence_status=present,manual
AVIBASE-C6772490,Nyctanassa violacea,Nyctanassa violacea,9/28/2022,2480953,536650,536021,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480953&occurrence_status=present,manual
AVIBASE-6BB94D7E,Nycticorax nycticorax,Nycticorax nycticorax,9/28/2022,2480863,1906554,1902135,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480863&occurrence_status=present,manual
AVIBASE-AB031597,Oenanthe oenanthe,Oenanthe oenanthe,9/28/2022,5231240,1207592,1204367,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=5231240&occurrence_status=present,manual
AVIBASE-0B23929D,Oporornis agilis,Oporornis agilis,9/24/2022,2489611,34765,34752,NA,code
AVIBASE-171E91FF,Oreortyx pictus,Oreortyx pictus,9/24/2022,2474320,62807,62793,NA,code
AVIBASE-F6DF700B,Oreoscoptes montanus,Oreoscoptes montanus,9/28/2022,2494973,111893,111853,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2494973&occurrence_status=present,manual
AVIBASE-675EEA7F,Oxyura jamaicensis,Oxyura jamaicensis,9/28/2022,2498305,2049964,2047369,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2498305&occurrence_status=present,manual
AVIBASE-1327AC55,Pandion haliaetus,Pandion haliaetus,9/28/2022,2480726,5008895,4995504,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480726&occurrence_status=present,manual
AVIBASE-FBED1927,Parabuteo unicinctus,Parabuteo unicinctus,9/28/2022,2480410,204489,204456,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2480410&occurrence_status=present,manual
AVIBASE-7AB0F3A4,Parkesia motacilla,Parkesia motacilla,9/28/2022,6093862,400110,400065,https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=6093862&occurrence_status=present,manual
