"SpecCode","Species","Author","name_in_mydb","gbif_dwnld_date","gbif_TaxonKey","maxrecords_in_gbif","maxrecords_PRESENT_only","comments","gbif_dwnld_type"
3373,"Lepomis gulosus","(Cuvier, 1829)","Lepomis gulosus","2022-09-16",2394507,18419,18389,NA,"code"
3374,"Lepomis humilis","(Girard, 1858)","Lepomis humilis","2022-09-16",2394483,7611,7604,NA,"code"
3375,"Lepomis macrochirus","Rafinesque, 1819","Lepomis macrochirus","2022-09-16",2394503,136123,135903,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2394503&occurrence_status=present","manual"
3377,"Lepomis megalotis","(Rafinesque, 1820)","Lepomis megalotis","2022-09-16",2394510,27247,27214,NA,"code"
4662,"Leuciscus leuciscus","(Linnaeus, 1758)","Leuciscus leuciscus","2022-09-16",4409641,171646,169875,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=4409641&occurrence_status=present","manual"
310,"Lota lota","(Linnaeus, 1758)","Lota lota","2022-09-16",2415460,225379,223234,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2415460&occurrence_status=present","manual"
46094,"Luciobarbus graellsii","(Steindachner, 1866)","Luciobarbus graellsii","2022-09-16",2363097,16715,16715,NA,"code"
2850,"Luxilus coccogenis","(Cope, 1868)","Luxilus coccogenis","2022-09-16",2366963,2187,2187,NA,"code"
2851,"Luxilus cornutus","(Mitchill, 1817)","Luxilus cornutus","2022-09-16",2366967,15361,15355,NA,"code"
2778,"Macrhybopsis aestivalis","(Girard, 1856)","Macrhybopsis aestivalis","2022-09-16",2362048,3480,3461,NA,"code"
2792,"Macrhybopsis storeriana","(Kirtland, 1845)","Macrhybopsis storeriana","2022-09-16",2362045,2820,2797,NA,"code"
3382,"Micropterus dolomieu","Lacepède, 1802","Micropterus dolomieu","2022-09-16",5211250,51361,51348,NA,"code"
3385,"Micropterus salmoides","(Lacepède, 1802)","Micropterus salmoides","2022-09-16",2394563,140856,135483,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2394563&occurrence_status=present","manual"
2996,"Minytrema melanops","(Rafinesque, 1820)","Minytrema melanops","2022-09-16",2358945,5820,5817,NA,"code"
355,"Morone americana","(Gmelin, 1789)","Morone americana","2022-09-16",2394604,11410,11407,NA,"code"
3308,"Morone chrysops","(Rafinesque, 1820)","Morone chrysops","2022-09-16",2394598,12215,12204,NA,"code"
3309,"Morone mississippiensis","Jordan & Eigenmann, 1887","Morone mississippiensis","2022-09-16",2394610,5127,2117,NA,"code"
2997,"Moxostoma anisurum","(Rafinesque, 1820)","Moxostoma anisurum","2022-09-16",2358964,2854,2848,NA,"code"
3000,"Moxostoma carinatum","(Cope, 1870)","Moxostoma carinatum","2022-09-16",2358998,641,641,NA,"code"
3004,"Moxostoma erythrurum","(Rafinesque, 1818)","Moxostoma erythrurum","2022-09-16",2358966,7796,7794,NA,"code"
3008,"Moxostoma macrolepidotum","(Lesueur, 1817)","Moxostoma macrolepidotum","2022-09-16",2359006,5433,5428,NA,"code"
2810,"Nocomis micropogon","(Cope, 1865)","Nocomis micropogon","2022-09-16",2365441,4441,4440,NA,"code"
276,"Notemigonus crysoleucas","(Mitchill, 1814)","Notemigonus crysoleucas","2022-09-16",2363714,31548,31485,NA,"code"
2824,"Notropis atherinoides","Rafinesque, 1818","Notropis atherinoides","2022-09-16",2362170,15572,15530,NA,"code"
2831,"Notropis blennius","(Girard, 1856)","Notropis blennius","2022-09-16",2362130,1424,1413,NA,"code"
