"spname","poscorsite","negcorsite","zerocorsite","poscorval","negcorval","zerocorval","occur_sites","avgcorval"
"Hirundo rustica",537,413,0,116.885645499148,-65.2200372566563,0,950,0.05438485078157
"Hydroprogne caspia",3,2,0,0.868595988765618,-0.575914902002981,0,5,0.0585362173525274
"Hylocichla mustelina",214,238,1,45.0591455397182,-40.5430113322979,0,453,0.00996939118635833
"Icteria virens",129,157,0,29.484801840095,-31.5223933036018,0,286,-0.00712444567659707
"Icterus bullockii",61,52,0,13.8913990292019,-9.41747757473891,0,113,0.0395922252607345
"Icterus cucullatus",5,3,0,1.88253324326542,-0.781339266809953,0,8,0.137649247056934
"Icterus galbula",207,233,0,40.0755150289701,-37.8381909773352,0,440,0.00508482739007937
"Icterus parisorum",15,11,0,5.09528264708731,-2.30960449476922,0,26,0.10714146739685
"Icterus spurius",154,151,0,33.7217888502879,-23.5525823678926,0,305,0.0333416605980172
"Ictinia mississippiensis",12,4,0,2.71655162711288,-0.518777912566263,0,16,0.137360857159163
"Ixoreus naevius",24,19,0,6.07940532426198,-3.98264195670108,0,43,0.048761938780486
"Junco hyemalis",3,2,0,0.442778052189238,-0.171485594762571,0,5,0.0542584914853333
"Junco hyemalis aikeni",3,1,0,0.438905269656238,-0.0214932264217264,0,4,0.104353010808628
"Junco hyemalis caniceps",11,19,0,3.13017919541589,-3.07493941554261,0,30,0.00184132599577612
"Junco hyemalis hyemalis",64,45,0,13.142815800995,-8.48598938172331,0,109,0.0427231781584555
"Junco hyemalis mearnsi",2,0,0,0.720995238738192,0,0,2,0.360497619369096
"Junco hyemalis oreganus",50,45,0,13.500759214245,-8.77390403981222,0,95,0.0497563702571867
"Lagopus lagopus",1,1,0,0.503942242366286,-0.30971359579037,0,2,0.097114323287958
"Lanius ludovicianus",46,46,0,12.0821548641006,-8.0858711054494,0,92,0.0434378669418614
"Larus argentatus",13,9,0,4.1962787778642,-1.50615422888086,0,22,0.122278388590152
"Larus californicus",8,6,0,1.14386776196841,-1.1174806888305,0,14,0.00188479093842185
"Larus canus",2,4,0,0.82397892330661,-0.798320068061893,0,6,0.00427647587411946
"Larus delawarensis",49,22,0,8.63923370588936,-3.45426094608196,0,71,0.0730277853493999
"Larus dominicanus",0,2,0,0,-0.499001879623665,0,2,-0.249500939811832
"Larus glaucescens",4,3,0,0.939897612060354,-0.552935057108134,0,7,0.0552803649931744
"Larus hartlaubii",2,0,0,0.739029107900609,0,0,2,0.369514553950304
"Larus hyperboreus",1,0,0,0.405674837633349,0,0,1,0.405674837633349
"Larus marinus",2,3,0,0.204655128648051,-0.401359326323606,0,5,-0.0393408395351109
"Larus occidentalis",1,0,0,0.300813151289259,0,0,1,0.300813151289259
"Leiothlypis celata",58,44,0,14.7472978544562,-9.26016208596486,0,102,0.0537954487106991
"Leiothlypis luciae",3,4,0,0.989630635185742,-1.02344450754163,0,7,-0.00483055319369899
"Leiothlypis peregrina",7,6,0,0.833956736238189,-1.07697605800696,0,13,-0.0186937939822131
"Leiothlypis ruficapilla",47,73,0,12.9955104383672,-13.9954482910002,0,120,-0.0083328154386085
"Leiothlypis virginiae",9,13,0,1.72806111584351,-3.31603264275823,0,22,-0.072180523950669
"Leucophaeus atricilla",5,18,0,1.25798406142532,-4.06007183363215,0,23,-0.121829903139427
"Leucophaeus pipixcan",6,3,0,1.39506728410385,-0.827878582940226,0,9,0.0630209667959584
"Limnodromus griseus",0,1,0,0,-0.315470252522513,0,1,-0.315470252522513
"Limnothlypis swainsonii",2,2,0,0.449524667749285,-0.433384831579494,0,4,0.00403495904244777
"Limosa fedoa",17,13,0,4.14558758672017,-1.95635991036979,0,30,0.0729742558783458
"Limosa haemastica",0,1,0,0,-0.0117624825608019,0,1,-0.0117624825608019
"Lophodytes cucullatus",0,1,0,0,-0.321132794390615,0,1,-0.321132794390615
"Loxia curvirostra",23,20,0,5.19507206929602,-3.44327833370162,0,43,0.0407393891998698
"Loxia leucoptera",3,3,0,0.998462373857581,-0.705627408040294,0,6,0.0488058276362145
"Loxia sinesciuris / curvirostra",1,0,0,0.368212350431058,0,0,1,0.368212350431058
"Luscinia luscinia",0,1,0,0,-0.262842629120835,0,1,-0.262842629120835
"Luscinia svecica",0,2,0,0,-0.262928569141259,0,2,-0.131464284570629
"Mareca americana",16,13,0,2.93163679230165,-1.91636246804702,0,29,0.0350094594570564
"Mareca strepera",21,36,0,4.69343222971932,-6.35739640655337,0,57,-0.0291923539795447
"Megaceryle alcyon",12,13,0,2.86443359692622,-1.88537151388745,0,25,0.0391624833215508
"Melanerpes aurifrons",5,8,0,1.09904776349367,-0.935466693229861,0,13,0.0125831592510619
"Melanerpes carolinus",334,221,0,73.7127449117159,-34.1395994930721,0,555,0.0713029647182771
"Melanerpes erythrocephalus",92,73,0,18.6947127420378,-10.3994334980826,0,165,0.0502744196603348
"Melanerpes formicivorus",18,6,0,5.37350809139421,-0.480302866485868,0,24,0.203883551037848
"Melanerpes lewis",2,2,0,0.584082131831891,-0.452323707542657,0,4,0.0329396060723085
"Melanerpes uropygialis",7,4,0,2.33335918155912,-0.774365548850554,0,11,0.141726693882597
"Melanitta americana",0,1,0,0,-0.338758774829213,0,1,-0.338758774829213
"Meleagris gallopavo",55,58,1,11.3081898234845,-9.76394724172086,0,114,0.0135459875593305
"Melospiza georgiana",87,74,0,16.4915230887739,-11.462325841418,0,161,0.0312372499835775
"Melospiza lincolnii",57,37,1,14.710790319585,-6.28364799827105,0,95,0.0887067612769894
"Melospiza melodia",394,347,0,81.2236190801843,-59.3063886862069,0,741,0.0295779087638021
"Melozone aberti",3,4,0,0.636978507700138,-1.14237833054267,0,7,-0.0721999746917908
"Melozone crissalis",11,7,0,3.55400782355463,-1.05223775320828,0,18,0.138987226130353
"Melozone fusca",13,15,0,3.86785359404273,-2.5348882581383,0,28,0.0476059048537297
"Mergus merganser",4,4,0,1.08700099611315,-0.592406564152103,0,8,0.0618243039951313
"Mimus polyglottos",299,235,1,74.8182070040624,-43.6878679975507,0,535,0.0581875495448817
"Mniotilta varia",113,93,1,24.140355305985,-14.0574633572009,0,207,0.0487096229409861
"Molothrus aeneus",4,0,0,0.892730744063676,0,0,4,0.223182686015919
"Molothrus ater",484,501,0,97.1822068097156,-85.0330771646917,0,985,0.0123341417715979
"Morus bassanus",1,0,0,0.109887005649718,0,0,1,0.109887005649718
"Motacilla tschutschensis",1,0,0,0.499381662567104,0,0,1,0.499381662567104
"Muscicapa striata",0,1,0,0,-0.265898829571859,0,1,-0.265898829571859
"Myadestes townsendi",24,14,0,4.56693459818203,-1.88554139463228,0,38,0.0705629790407829
"Mycteria americana",0,1,0,0,-0.0145892562208495,0,1,-0.0145892562208495
"Myiarchus cinerascens",62,56,0,13.9353640367193,-9.25372692356113,0,118,0.0396748907894764
"Myiarchus crinitus",308,304,0,61.0705931775728,-53.1521548622234,0,612,0.0129386246982833
"Myiarchus tuberculifer",0,1,0,0,-0.169328084658099,0,1,-0.169328084658099
"Myiarchus tyrannulus",6,5,0,1.1937659378284,-1.27571162080022,0,11,-0.00744960754289234
"Myioborus pictus",1,2,0,0.304331777194053,-0.484143705934876,0,3,-0.0599373095802742
"Nucifraga columbiana",16,14,0,2.3448692107964,-1.62223877364064,0,30,0.0240876812385253
"Numenius americanus",22,13,0,4.69471027243309,-1.83586983910262,0,35,0.0816811552380135
"Numenius phaeopus",0,1,0,0,-0.362470340584001,0,1,-0.362470340584001
"Nyctanassa violacea",2,1,0,0.155982117185086,-0.0826572507260407,0,3,0.0244416221530152
"Nycticorax nycticorax",1,3,0,0.137756186671147,-0.276599328104872,0,4,-0.0347107853584313
"Oenanthe oenanthe",1,0,0,0.173990131591008,0,0,1,0.173990131591008
"Oporornis agilis",5,0,0,1.16844051840264,0,0,5,0.233688103680528
"Oreortyx pictus",9,7,0,2.58975872082542,-0.846391527238741,0,16,0.108960449599167
"Oreoscoptes montanus",30,19,0,7.66338481732892,-3.48207310364646,0,49,0.0853328921159686
"Oxyura jamaicensis",9,13,0,2.25126166589199,-2.24566807015532,0,22,0.000254254351666453
"Pandion haliaetus",33,16,0,9.09834979068528,-2.26527999038188,0,49,0.139450404087824
"Parabuteo unicinctus",0,1,0,0,-0.183216186401408,0,1,-0.183216186401408
