"SpecCode","Species","Author","name_in_mydb","gbif_dwnld_date","gbif_TaxonKey","maxrecords_in_gbif","maxrecords_PRESENT_only","comments","gbif_dwnld_type","cleaned_records","maxTtol_K0.1","minTtol_K0.1","maxTtol_celcius","minTtol_celcius"
360,"Sander lucioperca","(Linnaeus, 1758)","Sander lucioperca","2022-09-16",2382155,137039,135022,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2382155&occurrence_status=present","manual",127143,3092,2515.2,36.05,-21.63
3516,"Sander vitreus","(Mitchill, 1818)","Sander vitreus","2022-09-16",2382172,59858,59830,NA,"code",57495,3148,2479.2,41.65,-25.23
2596,"Scaphirhynchus platorynchus","(Rafinesque, 1820)","Scaphirhynchus platorynchus","2022-09-16",2402084,386,386,NA,"code",78,3049.8,2594.4,31.83,-13.71
2951,"Scardinius erythrophthalmus","(Linnaeus, 1758)","Scardinius erythrophthalmus","2022-09-16",2362635,216542,214199,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2362635&occurrence_status=present","manual",205664,3078.6,2538,34.71,-19.35
2952,"Semotilus atromaculatus","(Mitchill, 1818)","Semotilus atromaculatus","2022-09-16",2360481,30691,30681,NA,"code",10292,3081,2541.8,34.95,-18.97
289,"Silurus glanis","Linnaeus, 1758","Silurus glanis","2022-09-16",2337607,23714,23616,NA,"code",23030,3096.8,2545,36.53,-18.65
4482,"Squalius cephalus","(Linnaeus, 1758)","Squalius cephalus","2022-09-16",2365685,855951,854154,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2365685&occurrence_status=present","manual",839765,3068,2553,33.65,-17.85
6462,"Telestes souffia","(Risso, 1827)","Telestes souffia","2022-09-16",2360687,121157,121145,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2360687&occurrence_status=present","manual",119024,3045,2580.6,31.35,-15.09
4605,"Thymallus thymallus","(Linnaeus, 1758)","Thymallus thymallus","2022-09-16",5203999,69272,67472,NA,"code",64546,3038,2520.6,30.65,-21.09
269,"Tinca tinca","(Linnaeus, 1758)","Tinca tinca","2022-09-16",2362524,170938,168869,"https://www.gbif.org/occurrence/download?has_coordinate=true&has_geospatial_issue=false&taxon_key=2362524&occurrence_status=present","manual",163238,3084.2,2543.8,35.27,-18.77
2708,"Umbra pygmaea","(DeKay, 1842)","Umbra pygmaea","2022-09-16",5203111,5319,5053,NA,"code",3756,3057,2641.4,32.55,-9.00999999999999
